ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,DépenseTotale,Anciennete,TotalChildren,features,scaledFeatures,Education_index,Marital_Status_index,Education_encoded,Marital_Status_encoded,features_,pca_features
9736,1980,Graduation,Married,41850,1,1,,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,44,96,0,2,"[44.0,51.0,96.0,0.0,2.0]","[-0.9340897487989334,0.06527848357695029,-0.8464903561271288,0.0,1.3960489921421362]",0.0,0.0,"(4,[0],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,5,9],[-0.9340897487989334,0.06527848357695029,-0.8464903561271288,1.3960489921421362,1.0,1.0])","[1.6121019473452125,-0.6236518730671744]"
4939,1946,Graduation,Together,37760,0,0,,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,78,317,0,0,"[78.0,20.0,317.0,0.0,0.0]","[1.9030099628073107,-1.005072850445159,-0.479532678634656,0.0,-1.264223013300979]",0.0,1.0,"(4,[0],[1.0])","(7,[1],[1.0])","(16,[0,1,2,4,5,10],[1.9030099628073107,-1.005072850445159,-0.479532678634656,-1.264223013300979,1.0,1.0])","[-0.6037159549222566,0.8411713734229173]"
6565,1949,Master,Married,76995,0,1,,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,75,1782,0,1,"[75.0,91.0,1782.0,0.0,1.0]","[1.6526776353126422,1.4463769790893493,1.95301482148513,0.0,0.06591298942057865]",2.0,0.0,"(4,[2],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,7,9],[1.6526776353126422,1.4463769790893493,1.95301482148513,0.06591298942057865,1.0,1.0])","[-1.3991842321799979,2.3840995100155333]"
2278,1985,2n Cycle,Single,33812,1,0,,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,39,133,0,1,"[39.0,86.0,133.0,0.0,1.0]","[-1.351310294623381,1.2737396671502994,-0.7850540028817827,0.0,0.06591298942057865]",3.0,2.0,"(4,[3],[1.0])","(7,[2],[1.0])","(16,[0,1,2,4,8,11],[-1.351310294623381,1.2737396671502994,-0.7850540028817827,0.06591298942057865,1.0,1.0])","[0.6399672411036603,-0.6699504707243773]"
9360,1982,Graduation,Married,37040,0,0,,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,42,316,0,0,"[42.0,41.0,316.0,0.0,0.0]","[-1.1009779671287125,-0.27999614030114944,-0.48119312061425995,0.0,-1.264223013300979]",0.0,0.0,"(4,[0],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,5,9],[-1.1009779671287125,-0.27999614030114944,-0.48119312061425995,-1.264223013300979,1.0,1.0])","[-0.5117943903627747,-1.3852828789940117]"
5376,1979,Graduation,Married,2447,1,0,,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,45,1730,0,1,"[45.0,42.0,1730.0,0.0,1.0]","[-0.8506456396340438,-0.24546867791333948,1.8666718385457246,0.0,0.06591298942057865]",0.0,0.0,"(4,[0],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,5,9],[-0.8506456396340438,-0.24546867791333948,1.8666718385457246,0.06591298942057865,1.0,1.0])","[-1.2510855905090208,-0.5437229049922734]"
1993,1949,PhD,Married,58607,0,1,,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,75,972,0,1,"[75.0,63.0,972.0,0.0,1.0]","[1.6526776353126422,0.47960803223066995,0.6080568180059308,0.0,0.06591298942057865]",1.0,0.0,"(4,[1],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,6,9],[1.6526776353126422,0.47960803223066995,0.6080568180059308,0.06591298942057865,1.0,1.0])","[-0.4395532744015105,1.7348026783172654]"
4047,1954,PhD,Married,65324,0,1,,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,70,544,0,1,"[70.0,0.0,544.0,0.0,1.0]","[1.2354570894881944,-1.6956220982013583,-0.10261234926455952,0.0,0.06591298942057865]",1.0,0.0,"(4,[1],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,6,9],[1.2354570894881944,-1.6956220982013583,-0.10261234926455952,0.06591298942057865,1.0,1.0])","[0.08870557644209454,0.2679504889008033]"
1409,1951,Graduation,Together,40689,0,1,,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,73,444,0,1,"[73.0,69.0,444.0,0.0,1.0]","[1.4857894169828632,0.6867728065575298,-0.26865654722495447,0.0,0.06591298942057865]",0.0,1.0,"(4,[0],[1.0])","(7,[1],[1.0])","(16,[0,1,2,4,5,10],[1.4857894169828632,0.6867728065575298,-0.26865654722495447,0.06591298942057865,1.0,1.0])","[0.18714552704280324,1.555718875242876]"
7892,1969,Graduation,Single,18589,0,0,,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,55,75,0,0,"[55.0,89.0,75.0,0.0,0.0]","[-0.0162045479851485,1.3773220543137292,-0.8813596376988118,0.0,-1.264223013300979]",0.0,2.0,"(4,[0],[1.0])","(7,[2],[1.0])","(16,[0,1,2,4,5,11],[-0.0162045479851485,1.3773220543137292,-0.8813596376988118,-1.264223013300979,1.0,1.0])","[-0.26978409647209034,0.24384736628543432]"
2404,1976,Graduation,Married,53359,1,1,,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,48,257,0,2,"[48.0,4.0,257.0,0.0,2.0]","[-0.6003133121393752,-1.5575122486501185,-0.579159197410893,0.0,1.3960489921421362]",0.0,0.0,"(4,[0],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,5,9],[-0.6003133121393752,-1.5575122486501185,-0.579159197410893,1.3960489921421362,1.0,1.0])","[1.4197199263994655,-1.0476367957238018]"
5255,1986,Graduation,Single,51381,1,0,,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,38,637,0,1,"[38.0,19.0,637.0,0.0,1.0]","[-1.4347544037882707,-1.039600312832969,0.05180875483860777,0.0,0.06591298942057865]",0.0,2.0,"(4,[0],[1.0])","(7,[2],[1.0])","(16,[0,1,2,4,5,11],[-1.4347544037882707,-1.039600312832969,0.05180875483860777,0.06591298942057865,1.0,1.0])","[0.05967011305774421,-1.682261679481024]"
9422,1989,Graduation,Married,38360,1,0,,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,35,131,0,1,"[35.0,26.0,131.0,0.0,1.0]","[-1.6850867312829392,-0.7979080761182991,-0.7883748868409906,0.0,0.06591298942057865]",0.0,0.0,"(4,[0],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,5,9],[-1.6850867312829392,-0.7979080761182991,-0.7883748868409906,0.06591298942057865,1.0,1.0])","[0.6628832760630904,-1.9110277893506258]"
1966,1965,PhD,Married,84618,0,0,,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,59,1672,0,0,"[59.0,96.0,1672.0,0.0,0.0]","[0.31757188867440966,1.619014291028399,1.7703662037286956,0.0,-1.264223013300979]",1.0,0.0,"(4,[1],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,6,9],[0.31757188867440966,1.619014291028399,1.7703662037286956,-1.264223013300979,1.0,1.0])","[-2.164170611015021,1.040441658497606]"
6864,1989,Master,Divorced,10979,0,0,,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,35,30,0,0,"[35.0,34.0,30.0,0.0,0.0]","[-1.6850867312829392,-0.5216883770158193,-0.9560795267809895,0.0,-1.264223013300979]",2.0,3.0,"(4,[2],[1.0])","(7,[3],[1.0])","(16,[0,1,2,4,7,12],[-1.6850867312829392,-0.5216883770158193,-0.9560795267809895,-1.264223013300979,1.0,1.0])","[-0.15511617599474592,-2.066485296695681]"
3033,1963,Master,Together,38620,0,0,,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,61,318,0,0,"[61.0,56.0,318.0,0.0,0.0]","[0.48446010700418873,0.23791579551600014,-0.4778722366550521,0.0,-1.264223013300979]",2.0,1.0,"(4,[2],[1.0])","(7,[1],[1.0])","(16,[0,1,2,4,7,10],[0.48446010700418873,0.23791579551600014,-0.4778722366550521,-1.264223013300979,1.0,1.0])","[-0.5664277211783332,0.205771449183595]"
5710,1970,Graduation,Together,40548,0,1,,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,54,120,0,1,"[54.0,31.0,120.0,0.0,1.0]","[-0.09964865715003804,-0.6252707641792492,-0.806639748616634,0.0,0.06591298942057865]",0.0,1.0,"(4,[0],[1.0])","(7,[1],[1.0])","(16,[0,1,2,4,5,10],[-0.09964865715003804,-0.6252707641792492,-0.806639748616634,0.06591298942057865,1.0,1.0])","[0.6252564970961252,-0.4825738798848219]"
7373,1952,PhD,Divorced,46610,0,2,,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,72,302,0,2,"[72.0,8.0,302.0,0.0,2.0]","[1.4023453078179735,-1.4194023990988787,-0.5044393083287152,0.0,1.3960489921421362]",1.0,3.0,"(4,[1],[1.0])","(7,[3],[1.0])","(16,[0,1,2,4,6,12],[1.4023453078179735,-1.4194023990988787,-0.5044393083287152,1.3960489921421362,1.0,1.0])","[1.3031483619767448,0.7345967857512378]"
8755,1946,Master,Married,68657,0,0,,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,78,1196,0,0,"[78.0,4.0,1196.0,0.0,0.0]","[1.9030099628073107,-1.5575122486501185,0.9799958214372154,0.0,-1.264223013300979]",2.0,0.0,"(4,[2],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,7,9],[1.9030099628073107,-1.5575122486501185,0.9799958214372154,-1.264223013300979,1.0,1.0])","[-1.6372978049785492,0.8066767973863572]"
10738,1951,Master,Single,49389,1,1,,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,73,65,0,2,"[73.0,55.0,65.0,0.0,2.0]","[1.4857894169828632,0.20338833312819019,-0.8979640574948512,0.0,1.3960489921421362]",2.0,2.0,"(4,[2],[1.0])","(7,[2],[1.0])","(16,[0,1,2,4,7,11],[1.4857894169828632,0.20338833312819019,-0.8979640574948512,1.3960489921421362,1.0,1.0])","[1.5720349956168087,1.495190337250295]"
4339,1970,PhD,Married,67353,0,1,,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,54,913,0,1,"[54.0,37.0,913.0,0.0,1.0]","[-0.09964865715003804,-0.41810598985238934,0.5100907412092978,0.0,0.06591298942057865]",1.0,0.0,"(4,[1],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,6,9],[-0.09964865715003804,-0.41810598985238934,0.5100907412092978,0.06591298942057865,1.0,1.0])","[-0.31063552012397294,-0.18808873764628817]"
10755,1976,2n Cycle,Married,23718,1,0,,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,48,81,0,1,"[48.0,76.0,81.0,0.0,1.0]","[-0.6003133121393752,0.9284650432721996,-0.8713969858211881,0.0,0.06591298942057865]",3.0,0.0,"(4,[3],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,8,9],[-0.6003133121393752,0.9284650432721996,-0.8713969858211881,0.06591298942057865,1.0,1.0])","[0.6793837070836721,-0.20212752468623485]"
8595,1973,Graduation,Widow,42429,0,1,,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,51,67,0,1,"[51.0,99.0,67.0,0.0,1.0]","[-0.3499809846447066,1.722596678191829,-0.8946431735356434,0.0,0.06591298942057865]",0.0,4.0,"(4,[0],[1.0])","(7,[4],[1.0])","(16,[0,1,2,4,5,13],[-0.3499809846447066,1.722596678191829,-0.8946431735356434,0.06591298942057865,1.0,1.0])","[0.684167241227422,0.3742449685788338]"
2968,1943,PhD,Divorced,48948,0,0,,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,81,902,0,0,"[81.0,53.0,902.0,0.0,0.0]","[2.153342290301979,0.13433340835257024,0.49182587943365436,0.0,-1.264223013300979]",1.0,3.0,"(4,[1],[1.0])","(7,[3],[1.0])","(16,[0,1,2,4,6,12],[2.153342290301979,0.13433340835257024,0.49182587943365436,-1.264223013300979,1.0,1.0])","[-1.3067861688331777,1.7271106457318193]"
8601,1980,Graduation,Married,80011,0,1,,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,44,1395,0,1,"[44.0,3.0,1395.0,0.0,1.0]","[-0.9340897487989334,-1.5920397110379285,1.3104237753784014,0.0,0.06591298942057865]",0.0,0.0,"(4,[0],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,5,9],[-0.9340897487989334,-1.5920397110379285,1.3104237753784014,0.06591298942057865,1.0,1.0])","[-0.8469743818900418,-1.3202996168416414]"
503,1985,Master,Married,20559,1,0,,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,39,53,0,1,"[39.0,88.0,53.0,0.0,1.0]","[-1.351310294623381,1.3427945919259192,-0.9178893612500986,0.0,0.06591298942057865]",2.0,0.0,"(4,[2],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,7,9],[-1.351310294623381,1.3427945919259192,-0.9178893612500986,0.06591298942057865,1.0,1.0])","[0.7339447334756174,-0.6581461230970779]"
8430,1957,Graduation,Together,21994,0,1,,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,67,22,0,1,"[67.0,4.0,22.0,0.0,1.0]","[0.9851247619935259,-1.5575122486501185,-0.969363062617821,0.0,0.06591298942057865]",0.0,1.0,"(4,[0],[1.0])","(7,[1],[1.0])","(16,[0,1,2,4,5,10],[0.9851247619935259,-1.5575122486501185,-0.969363062617821,0.06591298942057865,1.0,1.0])","[0.7112856385755572,-0.012630376206943184]"
7281,1959,PhD,Single,51381,0,0,,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,65,186,0,0,"[65.0,80.0,186.0,0.0,0.0]","[0.8182365436637469,1.0665748928234395,-0.6970505779627734,0.0,-1.264223013300979]",1.0,2.0,"(4,[1],[1.0])","(7,[2],[1.0])","(16,[0,1,2,4,6,11],[0.8182365436637469,1.0665748928234395,-0.6970505779627734,-1.264223013300979,1.0,1.0])","[-0.42531833414294684,0.839617863483271]"
2139,1975,Master,Married,7500,1,0,,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,49,31,0,1,"[49.0,19.0,31.0,0.0,1.0]","[-0.5168692029744857,-1.039600312832969,-0.9544190848013855,0.0,0.06591298942057865]",2.0,0.0,"(4,[2],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,7,9],[-0.5168692029744857,-1.039600312832969,-0.9544190848013855,0.06591298942057865,1.0,1.0])","[0.7452904140487688,-1.0517719091909805]"
1371,1976,Graduation,Single,79941,0,0,,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,48,984,0,0,"[48.0,72.0,984.0,0.0,0.0]","[-0.6003133121393752,0.7903551937209597,0.6279821217611782,0.0,-1.264223013300979]",0.0,2.0,"(4,[0],[1.0])","(7,[2],[1.0])","(16,[0,1,2,4,5,11],[-0.6003133121393752,0.7903551937209597,0.6279821217611782,-1.264223013300979,1.0,1.0])","[-1.3202348473492254,-0.2969940993411882]"
9909,1996,2n Cycle,Married,7500,0,0,,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,28,122,0,0,"[28.0,24.0,122.0,0.0,0.0]","[-2.269195495437166,-0.866963000893919,-0.8033188646574261,0.0,-1.264223013300979]",3.0,0.0,"(4,[3],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,8,9],[-2.269195495437166,-0.866963000893919,-0.8033188646574261,-1.264223013300979,1.0,1.0])","[-0.24356559373613418,-2.7006889099583273]"
7286,1968,Graduation,Together,41728,1,0,,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,56,55,0,1,"[56.0,92.0,55.0,0.0,1.0]","[0.06723956117974103,1.4809044414771593,-0.9145684772908907,0.0,0.06591298942057865]",0.0,1.0,"(4,[0],[1.0])","(7,[1],[1.0])","(16,[0,1,2,4,5,10],[0.06723956117974103,1.4809044414771593,-0.9145684772908907,0.06591298942057865,1.0,1.0])","[0.6863973787095013,0.6153664799889943]"
7244,1951,Graduation,Single,51381,2,1,,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,73,124,0,3,"[73.0,96.0,124.0,0.0,3.0]","[1.4857894169828632,1.619014291028399,-0.7999979806982183,0.0,2.7261849948636936]",0.0,2.0,"(4,[0],[1.0])","(7,[2],[1.0])","(16,[0,1,2,4,5,11],[1.4857894169828632,1.619014291028399,-0.7999979806982183,2.7261849948636936,1.0,1.0])","[2.4313142013622415,2.420880776339333]"
6566,1954,PhD,Married,72550,1,1,,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,70,1319,0,2,"[70.0,39.0,1319.0,0.0,2.0]","[1.2354570894881944,-0.3490510650767694,1.1842301849285013,0.0,1.3960489921421362]",1.0,0.0,"(4,[1],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,6,9],[1.2354570894881944,-0.3490510650767694,1.1842301849285013,1.3960489921421362,1.0,1.0])","[0.10421408710726719,1.3413427325317773]"
8614,1957,Graduation,Widow,65486,0,1,,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,67,507,0,1,"[67.0,29.0,507.0,0.0,1.0]","[0.9851247619935259,-0.6943256889548691,-0.16404870250990564,0.0,0.06591298942057865]",0.0,4.0,"(4,[0],[1.0])","(7,[4],[1.0])","(16,[0,1,2,4,5,13],[0.9851247619935259,-0.6943256889548691,-0.16404870250990564,0.06591298942057865,1.0,1.0])","[0.1353079001089371,0.5073557866992596]"
4114,1964,Master,Married,79143,0,0,,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,60,1693,0,0,"[60.0,2.0,1693.0,0.0,0.0]","[0.4010159978392992,-1.6265671734257383,1.8052354853003785,0.0,-1.264223013300979]",2.0,0.0,"(4,[2],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,7,9],[0.4010159978392992,-1.6265671734257383,1.8052354853003785,-1.264223013300979,1.0,1.0])","[-2.175749049698429,-0.38095449108458856]"
